UID,Lat,Lon,CO,PM10,PM25,AQI
0,44.382361,-79.702306,,,5,27
1,-77.3955,44.150528,,,13,30
2,43.69875,-79.780917,,,9,30
3,43.138611,-80.292639,,,13,32
4,43.315111,-79.802639,,,5,30
5,-82.208306,42.403694,,,21,39
6,45.017972,-74.735222,,,13,26
7,-78.932944,45.224278,,,9,26
8,43.333083,-81.742889,,,5,34
9,-80.264167,43.551611,,,9,30
10,43.257778,-79.861667,1.4,,13,30
11,43.229417,-79.862778,,,5,33
12,43.257444,-79.90775,,,9,30
13,44.219722,-76.521111,,,13,29
14,43.443833,-80.503806,,,5,30
15,42.97446,-81.200858,,,9,34
16,43.54697,-79.65869,,,5,31
17,44.89975,-75.189944,,,,
18,44.044306,-79.48325,,,17,28
19,-79.449278,46.323194,,,9,27
20,43.486917,-79.702278,,,13,29
21,43.945944,-78.894917,,,13,13
22,45.382528,-75.714194,,,5,24
23,45.434333,-75.676,1.4,,9,22
24,45.337861,-80.038167,,,5,27
25,45.996722,-77.441194,,,9,26
26,44.301917,-78.346222,,,5,28
27,42.672083,-81.162889,,,17,33
28,42.982278,-82.405083,,,5,36
29,46.533194,-84.309917,,,5,26
30,-79.23475,43.160056,,,5,33
31,46.49194,-81.003105,,,9,29
32,48.379389,-89.290167,,,9,23
33,44.314472,-81.549722,,,5,26
34,-79.388111,43.662972,,,9,30
35,43.747917,-79.274056,,,5,26
36,43.781611,-79.417722,,,9,27
37,-79.5435,43.709444,1.7,,9,25
38,42.315778,-83.043667,1.9,,13,38
39,42.292889,-83.073139,,,9,37
40,68.356994,-133.714063,1.6,,9,9
41,-126.812887,65.279676,,10,,12
42,62.452084,-114.364031,1.6,18,9,18
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,43.4,,9,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
58,41.0522,-73.7642,,,19,19
59,40.8197,-73.9481,1.2,,10,10
60,40.814701,-73.886703,2.3,,3,3
61,40.641819,-74.018707,,,15,15
62,40.7269,-73.8933,1.2,,9,9
63,40.7447,-73.5869,,,6,48
64,40.8492,-73.9319,2.3,,11,11
65,40.5802,-74.1994,,,15,15
67,-123.091457,44.61569,,7,6,6
68,-123.2321,42.290094,,11,8,30
69,44.78822,-117.8446,,12,15,15
70,45.4702,-122.8159,2.2,8,8,16
71,44.063916,-121.312554,,10,6,10
